id,name,party,sector,country
500,Folge 500,NA,NA,NA
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Jura,USA
501,Folge 501,NA,NA,NA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Historiker,Deutschland
lm,Ljudmyla Melnyk,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalimus,Deutschland
el,Eglis Levits,NA,Politik,Lettland
502,Folge 502,NA,NA,NA
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Franz Timmermans,NA,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Bundeswehr,Deutschland
503,Folge 503,NA,NA,NA
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Dr. Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Journalimus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
CDU,CDU,NA,NA,NA
SPD,SPD,NA,NA,NA
Die Linke,Die Linke,NA,NA,NA
FDP,FDP,NA,NA,NA
Die Grünen,Die Grünen,NA,NA,NA
